name	x	y	z
Fp1	80.7840137690914	26.1330144040702	-4.00108454195971
AF7	68.6910763510323	49.709431314888	-5.9588982276161
AF3	76.1527667684846	31.4827967984807	20.8468131677331
F1	59.9127302448179	26.0420933899754	54.3808249889562
F3	57.551063393099	48.2004273175388	39.8697116710185
F5	54.0378881132511	63.0582218645482	18.1264255588676
F7	49.8713779489202	68.4233350269539	-7.48951836002624
FT7	26.2075035325936	80.4100143118706	-8.5086048770556
FC5	28.7628234353576	76.2473645099531	24.1669069868857
FC3	30.9552849531915	59.2749781760892	52.4713950232968
FC1	32.4361838987395	32.3513771312283	71.5980612293391
C1	2.11480422795274e-15	34.5373740318457	77.6670444589234
C3	3.86812533613566e-15	63.1712807125907	56.8716914917349
C5	4.94950482941819e-15	80.8315480490248	26.291839798656
T7	5.17649253748256e-15	84.5385386396573	-8.84508251353112
TP7	-26.2075035325936	80.4100143118706	-8.5086048770556
CP5	-28.7628234353576	76.2473645099531	24.1669069868857
CP3	-30.9552849531915	59.2749781760892	52.4713950232968
CP1	-32.4361838987395	32.3513771312283	71.5980612293391
P1	-59.9127302448179	26.0420933899754	54.3808249889562
P3	-57.551063393099	48.2004273175389	39.8697116710185
P5	-54.0378881132511	63.0582218645482	18.1264255588676
P7	-49.8713779489202	68.4233350269539	-7.48951836002624
P9	-44.4841053285474	59.7082740762203	-41.0010534005855
PO7	-68.6910763510323	49.709431314888	-5.9588982276161
PO3	-76.1527667684845	31.4827967984807	20.8468131677331
O1	-80.7840137690914	26.1330144040702	-4.00108454195971
Iz	-77.6332510774614	-9.50733124394159e-15	-34.6132680795074
Oz	-84.9812336134462	-1.040719957323e-14	-1.78603850374883
POz	-79.0255388591416	-9.67783732147425e-15	31.3043800133831
Pz	-60.7384809484625	-7.43831862786072e-15	59.4629038314919
CPz	-32.927883635256	-4.03250272966127e-15	78.362966248752
Fpz	84.9812336134462	-0	-1.78603850374883
Fp2	80.7840137690914	-26.1330144040702	-4.00108454195971
AF8	68.7208994216315	-49.668904028116	-5.95297869371352
AF4	76.1527667684846	-31.4827967984807	20.8468131677331
AFz	79.0255388591416	-0	31.3043800133831
Fz	60.7384809484625	-0	59.4629038314919
F2	59.8744127660118	-26.0254380421476	54.4309771236893
F4	57.5840261068105	-48.1425964684523	39.8919834378528
F6	54.0263340465386	-63.0447391225751	18.2075835425317
F8	49.9265268118817	-68.3835902976096	-7.48508507040089
FT8	26.2075035325936	-80.4100143118706	-8.5086048770556
FC6	28.7628234353576	-76.2473645099531	24.1669069868857
FC4	30.9552849531915	-59.2749781760892	52.4713950232968
FC2	32.4361838987395	-32.3513771312283	71.5980612293391
FCz	32.927883635256	-0	78.362966248752
Cz	5.20474889637625e-15	-0	85
C2	2.11920249382479e-15	-34.6092031645412	77.6350633175211
C4	3.86788221025119e-15	-63.1673101655785	56.876101540503
C6	4.94950482941819e-15	-80.8315480490248	26.291839798656
T8	5.17649253748256e-15	-84.5385386396573	-8.84508251353112
TP8	-26.2847718099742	-80.385102119676	-8.50565271492099
CP6	-28.7628234353576	-76.2473645099531	24.1669069868857
CP4	-30.9552849531915	-59.2749781760892	52.4713950232968
CP2	-32.4361838987395	-32.3513771312283	71.5980612293391
P2	-59.8744127660117	-26.0254380421476	54.4309771236893
P4	-57.5840261068105	-48.1425964684523	39.8919834378528
P6	-54.0263340465386	-63.0447391225751	18.2075835425317
P8	-49.9265268118817	-68.3835902976096	-7.48508507040089
P10	-44.4841053285474	-59.7082740762203	-41.0010534005855
PO8	-68.7208994216315	-49.668904028116	-5.95297869371352
PO4	-76.1527667684845	-31.4827967984807	20.8468131677331
O2	-80.7840137690914	-26.1330144040702	-4.00108454195971
